Period start,Period end,Mid point,File
2021-07-21,2021-08-02,2021-07-27,pulse2021_puf_34.csv
2021-08-04,2021-08-16,2021-08-10,pulse2021_puf_35.csv
2021-08-18,2021-08-30,2021-08-24,pulse2021_puf_36.csv
2021-09-01,2021-09-13,2021-09-07,pulse2021_puf_37.csv
2021-09-15,2021-09-27,2021-09-21,pulse2021_puf_38.csv
2021-09-29,2021-10-11,2021-10-05,pulse2021_puf_39.csv
2021-12-01,2021-12-13,2021-12-07,pulse2021_puf_40.csv
2021-12-29,2022-01-10,2022-01-04,pulse2022_puf_41.csv
2022-01-26,2022-02-07,2022-02-01,pulse2022_puf_42.csv
2022-03-02,2022-03-14,2022-03-08,pulse2022_puf_43.csv
2022-03-30,2022-04-11,2022-04-05,pulse2022_puf_44.csv
2022-04-27,2022-05-09,2022-05-03,pulse2022_puf_45.csv
2022-06-01,2022-06-13,2022-06-07,pulse2022_puf_46.csv
2022-06-29,2022-07-11,2022-07-05,pulse2022_puf_47.csv
2022-07-27,2022-08-08,2022-08-02,pulse2022_puf_48.csv
2022-09-14,2022-09-28,2022-09-21,pulse2022_puf_49.csv
2022-10-05,2022-10-17,2022-10-11,pulse2022_puf_50.csv
2022-11-02,2022-11-14,2022-11-08,pulse2022_puf_51.csv
2022-12-09,2022-12-19,2022-12-14,pulse2022_puf_52.csv
2023-01-04,2023-01-16,2023-01-10,pulse2023_puf_53.csv
2023-02-01,2023-02-13,2023-02-07,pulse2023_puf_54.csv
2023-03-01,2023-03-13,2023-03-07,pulse2023_puf_55.csv
2023-03-29,2023-04-10,2023-04-04,pulse2023_puf_56.csv
2023-04-26,2023-05-08,2023-05-02,pulse2023_puf_57.csv
2023-06-07,2023-06-19,2023-06-13,pulse2023_puf_58.csv
2023-06-28,2023-07-10,2023-07-04,pulse2023_puf_59.csv
2023-07-26,2023-08-07,2023-08-01,pulse2023_puf_60.csv
2023-08-23,2023-09-04,2023-08-29,pulse2023_puf_61.csv
2023-09-20,2023-10-02,2023-09-26,pulse2023_puf_62.csv
2023-10-18,2023-10-30,2023-10-24,pulse2023_puf_63.csv
